naam,categorie,categorie2,website,tekstje,foto,adres,latitude,longitude
ohne,voeding,koop voeding,http://ohne.be/gent/,"Bij OHNE willen we consumenten een alternatief bieden om anders inkopen te doen. Dat doen we door verpakking te reduceren tot een minimum, maar ook door in te zetten op biologische voeding en korte keten. Zo creëren we een aanbod van verbruiksgoederen waar een eerlijke prijs voor betaald wordt en waarbij productie en consumptie een minimale negatieve impact hebben op de omgeving.",20.jpeg,"Steendam 50, 9000 Gent",51.057145,3.729862
het Spilvarken,voeding,"eet, kweek",http://www.hetspilvarken.be,Het spilvarken is ontstaan als burgerinitiatief onder het motto 'niets is verloren'. Hoe breng je varkens groot op voedselafval in de stad?,19.jpeg,"Oude brusselsesteenweg 94, 9050 Gentbrugge",51.0410557,3.7483689
oxfam wereldwinkel,voeding,koop voeding,http://www.oxfamwereldwinkels.be/nl,Handel is een krachtige hefboom voor duurzame ontwikkeling. Maar heel wat producenten in het Zuiden krijgen geen eerlijke kans op de wereldmarkt. Daardoor leven ze vaak in armoede. Oxfam-Wereldwinkels bestrijdt dit onrecht.,21.jpeg,"Lammerstraat 16,9000 Gent",51.047958,3.728308
oxfam wereldwinkel,voeding,koop voeding,http://www.oxfamwereldwinkels.be/nl,Handel is een krachtige hefboom voor duurzame ontwikkeling. Maar heel wat producenten in het Zuiden krijgen geen eerlijke kans op de wereldmarkt. Daardoor leven ze vaak in armoede. Oxfam-Wereldwinkels bestrijdt dit onrecht.,21.jpeg,"Lourdesstraat 55, 9041 Gent",51.073620,3.680642
oxfam wereldwinkel,voeding,koop voeding,http://www.oxfamwereldwinkels.be/nl,Handel is een krachtige hefboom voor duurzame ontwikkeling. Maar heel wat producenten in het Zuiden krijgen geen eerlijke kans op de wereldmarkt. Daardoor leven ze vaak in armoede. Oxfam-Wereldwinkels bestrijdt dit onrecht.,21.jpeg,"Vierweegsestraat 24, 9032 Gent",51.047958,3.728308
oxfam wereldwinkel,voeding,koop voeding,http://www.oxfamwereldwinkels.be/nl,Handel is een krachtige hefboom voor duurzame ontwikkeling. Maar heel wat producenten in het Zuiden krijgen geen eerlijke kans op de wereldmarkt. Daardoor leven ze vaak in armoede. Oxfam-Wereldwinkels bestrijdt dit onrecht.,21.jpeg,"Maria-Hendrikaplein 5, 9000 Gent",51.073620,3.680642
oxfam wereldwinkel,voeding,koop voeding,http://www.oxfamwereldwinkels.be/nl,Handel is een krachtige hefboom voor duurzame ontwikkeling. Maar heel wat producenten in het Zuiden krijgen geen eerlijke kans op de wereldmarkt. Daardoor leven ze vaak in armoede. Oxfam-Wereldwinkels bestrijdt dit onrecht.,21.jpeg,"Leo Tertzweillaan 2, 9050 Gentbrugge",51.047958,3.728308
oxfam wereldwinkel,voeding,koop voeding,http://www.oxfamwereldwinkels.be/nl,Handel is een krachtige hefboom voor duurzame ontwikkeling. Maar heel wat producenten in het Zuiden krijgen geen eerlijke kans op de wereldmarkt. Daardoor leven ze vaak in armoede. Oxfam-Wereldwinkels bestrijdt dit onrecht.,21.jpeg,"Brugsesteenweg 526, 9030 Gent",51.073620,3.680642
oxfam wereldwinkel,voeding,koop voeding,http://www.oxfamwereldwinkels.be/nl,Handel is een krachtige hefboom voor duurzame ontwikkeling. Maar heel wat producenten in het Zuiden krijgen geen eerlijke kans op de wereldmarkt. Daardoor leven ze vaak in armoede. Oxfam-Wereldwinkels bestrijdt dit onrecht.,21.jpeg,"Domien Ingelsstraat 2, 9031 Drongen",0,0
oxfam tweedehands,consuminderen,koop tweedehands,http://www.oxfamsol.be/nl/winkelen,"Op zoek naar een origineel cadeau, een goed koopje of een zeldzaam pareltje? Oxfam stelt je duurzame en solidaire producten voor. De opbrengst daarvan gaat rechtstreeks naar onze ontwikkelingsprojecten en naar humanitaire hulp. Zo help je ons om armoede de wereld uit te helpen en doe je tegelijkertijd jezelf (of een ander) plezier.",22.jpeg,"Sint-Jacobs 12,9000 Gent",51.067831,3.729091
oxfam tweedehands,consuminderen,koop tweedehands,http://www.oxfamsol.be/nl/winkelen,"Op zoek naar een origineel cadeau, een goed koopje of een zeldzaam pareltje? Oxfam stelt je duurzame en solidaire producten voor. De opbrengst daarvan gaat rechtstreeks naar onze ontwikkelingsprojecten en naar humanitaire hulp. Zo help je ons om armoede de wereld uit te helpen en doe je tegelijkertijd jezelf (of een ander) plezier.",22.jpeg,"steendam 73, 9000 Gent",53.274877,6.842370
oxfam tweedehands boekenwinkel,consuminderen,koop tweedehands,http://www.oxfamsol.be/nl/winkelen,"Op zoek naar een origineel cadeau, een goed koopje of een zeldzaam pareltje? Oxfam stelt je duurzame en solidaire producten voor. De opbrengst daarvan gaat rechtstreeks naar onze ontwikkelingsprojecten en naar humanitaire hulp. Zo help je ons om armoede de wereld uit te helpen en doe je tegelijkertijd jezelf (of een ander) plezier.",22.jpeg,"Sint-Amandstraat 16, 9000 Gent",0,0
think twice,consuminderen,koop tweedehands,http://thinktwice-secondhand.be/shops/ajuinlei-15a-gent/,"Think Twice is de winkelketen die tweedehands kleding een waardig leven geeft. Zowel vintage stukken als dagdagelijkse basics liggen in de verschillende winkels. Kies een winkel en shop!\r\n\r\nMomenteel werken er 40 mensen in de 11 shops en staan er nog twee shops in de wachtrij om te openen.\r\n\r\nThink Twice is een onderdeel van Humana (humana.org) en werkt volgens het  “people to people” – principe: tweedehands kleding wordt ingezameld, gesorteerd en verdeeld naar de juiste winkels. Op die manier blijft alles betaalbaar, voor iedereen: people 2 people.\r\nDe collecties wisselen elke vijf weken, waarvan de laatste twee weken met stevige kortingen. Er is dus altijd iets nieuws te ontdekken bij Think Twice.\r\n\r\nDe grote principes van Think Twice zijn samen te vatten in één zin: tweedehands kleding recycleren om zo modieuze kleding voor iedereen betaalbaar te houden.",24.jpeg,"Ajuinlei 15a,9000 Gent",51.051229,3.720073
think twice,consuminderen,koop tweedehands,http://thinktwice-secondhand.be/shops/vintage-gent-2/,"Think Twice is de winkelketen die tweedehands kleding een waardig leven geeft. Zowel vintage stukken als dagdagelijkse basics liggen in de verschillende winkels. Kies een winkel en shop!\r\n\r\nMomenteel werken er 40 mensen in de 11 shops en staan er nog twee shops in de wachtrij om te openen.\r\n\r\nThink Twice is een onderdeel van Humana (humana.org) en werkt volgens het  “people to people” – principe: tweedehands kleding wordt ingezameld, gesorteerd en verdeeld naar de juiste winkels. Op die manier blijft alles betaalbaar, voor iedereen: people 2 people.\r\nDe collecties wisselen elke vijf weken, waarvan de laatste twee weken met stevige kortingen. Er is dus altijd iets nieuws te ontdekken bij Think Twice.\r\n\r\nDe grote principes van Think Twice zijn samen te vatten in één zin: tweedehands kleding recycleren om zo modieuze kleding voor iedereen betaalbaar te houden.",24.jpeg,"Nederkouter 118, 9000 Gent",51.051229,3.720073
yak & yeti,consuminderen,koop fairtrade,http://www.yak-yeti.be,"Yak&Yeti is de winkel voor unieke fair trade kledij en originele geschenkartikelen. We liggen in het hartje van Gent, aan de voet van het Belfort. \r\nWaarom is Yak&Yeti zo uniek? Yak&Yeti doet alles zelf, van stofkeuze, over ontwerpen en produceren, tot verkoop aan onze klanten in de winkel.\r\nKom bij ons langs en ontdek ons uitgebreid assortiment aan kledij, juwelen, doeken, mutsen, sjaals, handschoenen, zakken, lederen tassen, portefeuilles, wierrook, parfumoliën, cd's, beelden, handgemaakt rijstpapier, boekjes, kaartjes, fotoalbums en vele artikelen voor meditatie en yoga.",25.jpeg,"Mageleinstraat 13, 9000 Gent",51.053135,3.724568
,,,,,,,,
,,,,,,,,
t Landhuis,,,,,31.jpg,warmoezeniersweg 20,51.024665,3.744144
BOS+,,,,,,"Geraardsbergsesteenweg 264, 9090 Gontrode",50.9760981,3.8052664
Cozycar,,,http://cozycar.be,,,,0,0
Autodelen,,,http://autodelen.net,,,,0,0
Tapazz,,,http://tapazz.com,,,,0,0
Caramigo,,,http://caramigo.be,,,,0,0
Partago,,,http://partago.eu,,,,0,0
Bolides,,,http://bolides.be,,,,0,0
Green Bastards,,,,,,sint-pietersnieuwstraat 23,51.047704,3.727382
Bakfietsdelen Rabot,,,http://www.bakfietsdelenrabot.be,,,,0,0
Buurtfietskar,,,http://buurtfietskar.wordpress.com,,,"toekomststraat,gent",51.0509005,3.7471294
Testbak,,,http://testbak.be,,,,0,0
Spinlister,,,http://spinlister.com,,,,0,0
RentMyBike,,,http://rentmybike.be,,,,0,0
Trage wegen vzw,,,,,,,0,0
Netwerk bewust verbruiken,,,http://www.bewustverbruiken.be,,,,0,0
Bio dicht bij huis,,,,,,,0,0
Fermweb ,,,http://www.fermweb.be,,,,0,0
Voedselcollectief Gent,,,http://www.anarchie.be/voko/,,,,0,0
Thuis Afgehaald,,,http://www.thuisafgehaald.be,,,,0,0
Taalcafé Macharius,,,,,,,0,0
CSA-boerderijen,,,http://www.csa-netwerk.be,,,,0,0
Tuindelen,,,http://www.tuindelen.be,,,,0,0
Iedereen Ruilt Mee,,,http://iedereen.ruiltmee.be,,,,0,0
Freecycle,,,http://freecycle.org,,,,0,0
Samenhuizen,,,http://samenhuizen.be,,,,0,0
Timelab,,,http://www.timelab.org,,,,0,0
Coworking space like birds,,,http://www.likebirds.be,,,,0,0
Crowdfunding Gent,,,http://crowdfunding.gent/nl/,,,,0,0
Houdbaar,,,http://www.houdbaar.be/,HOUDBAAR ontwerpt en voert permacultuur projecten uit bij klanten in en rond Gent.,,,0,0
,,,,,,,,
Gent en garde,voeding,kweek,http://gentengarde.stad.gent,,26.jpeg,"Woodrow Wilsonplein 1, 9000 Gent",51.04725,3.730573
Stujardin,voeding,kweek,https://www.facebook.com/stujardin/,"StuJardin kweekt samen met jou groenten, fruit en kruiden in de stad. Hiermee willen we studenten overtuigen dat stadstuinieren plezierig en noodzakelijk is. Het project is een stap naar een stedelijke samenleving die meer berust op zelfvoorziening en korte keten. Het is immers duurzamer en milieuvriendelijker om je eigen lokaal gekweekte groenten te consumeren dan voedsel te kopen dat lange afstanden heeft afgelegd voor het op je bord terecht komt.</p></p>Concreet bestaat het project uit twee luiken. Enerzijds organiseert StuJardin diverse groeiavonden over stadstuinieren. Daarnaast hebben we een permanente moestuin op de faculteit bioingenieurswetenschappen. Hierin kunnen studenten en academisch personeel gezellig samen werken en oogsten. </p>",15.jpeg,,,
Gentmade,,,,,,,,
Textielverhaal van naald tot draad,,,,,,,,
de pastory,,,,,,,,
de natuurfrituur,,,,,,,,
DOK,,,,,,,,
Domestic Bugs,,,https://about.me/domesticbugs,Wij willen mensen inspireren en activeren om thuis insecten te kweken en eten.,,,,
Buren van de Abdij,,,,,,,,
,,,,,,,,
restaurant Ateljee,,,,,,,,
Trans fail Ateljee,,,,,,,,
Digitaal talent punten,,,,,,,,
Energiesnoeiers,,,,,,,,
Klussenteel Ateljee,,,,,,,,
Pasnassus,,,,,,,,
,,,,,,,,
Voedselteam BoErgoeyen Gent,voeding,Koop voeding,http://www.voedselteams.be/voedselteam/boergoyen-gent,"Een voedselteam is een groep van mensen uit een zelfde buurt die rechtstreeks biologische groenten en fruit, hoevezuivel en hoevevlees (al dan niet bio), brood en bloem ... streek- en seizoensproducten aankopen bij producenten uit de streek.",32.jpg,"Kempstraat, 9000 Gent",51.067783,3.6906581
Voedselteam Sint -Baafs Gent,voeding,Koop voeding,http://www.voedselteams.be/voedselteam/st-baafs-gent,"Een voedselteam is een groep van mensen uit een zelfde buurt die rechtstreeks biologische groenten en fruit, hoevezuivel en hoevevlees (al dan niet bio), brood en bloem ... streek- en seizoensproducten aankopen bij producenten uit de streek.",32.jpg,"Nederpolder, 9000 Gent",51.0537182,3.7279478
Voedselteam UZGent,voeding,Koop voeding,http://www.voedselteams.be/voedselteam/uzgent,"Een voedselteam is een groep van mensen uit een zelfde buurt die rechtstreeks biologische groenten en fruit, hoevezuivel en hoevevlees (al dan niet bio), brood en bloem ... streek- en seizoensproducten aankopen bij producenten uit de streek.",32.jpg,"Lucas De Heerestraat, 9000 Gent",51.0338965,3.7234118
Voedselteam De Dampoort,voeding,Koop voeding,http://www.voedselteams.be/voedselteam/de-dampoort,"Een voedselteam is een groep van mensen uit een zelfde buurt die rechtstreeks biologische groenten en fruit, hoevezuivel en hoevevlees (al dan niet bio), brood en bloem ... streek- en seizoensproducten aankopen bij producenten uit de streek.",32.jpg,"Doornakkerstraat, 9000 Gent",51.0543851,3.7491789
Voedselteam Gent Rooigem,voeding,Koop voeding,http://www.voedselteams.be/voedselteam/gent-rooigem,"Een voedselteam is een groep van mensen uit een zelfde buurt die rechtstreeks biologische groenten en fruit, hoevezuivel en hoevevlees (al dan niet bio), brood en bloem ... streek- en seizoensproducten aankopen bij producenten uit de streek.",32.jpg,"Groendreef, 9000 Gent",51.06522,3.69882
Voedselteam Brugse Poort,voeding,Koop voeding,http://www.voedselteams.be/voedselteam/gent-brugse-poort,"Een voedselteam is een groep van mensen uit een zelfde buurt die rechtstreeks biologische groenten en fruit, hoevezuivel en hoevevlees (al dan niet bio), brood en bloem ... streek- en seizoensproducten aankopen bij producenten uit de streek.",32.jpg,"Haspelstraat 37, 9000 Gent",51.0585511,3.7024917
Voedselteam Gent Tuinwijk,voeding,Koop voeding,http://www.voedselteams.be/voedselteam/gent-tuinwijk,"Een voedselteam is een groep van mensen uit een zelfde buurt die rechtstreeks biologische groenten en fruit, hoevezuivel en hoevevlees (al dan niet bio), brood en bloem ... streek- en seizoensproducten aankopen bij producenten uit de streek.",32.jpg,"Tuinwijklaan, 9000 Gent",51.0314083,3.7093537
Voedselteam Gent De Muide,voeding,Koop voeding,http://www.voedselteams.be/voedselteam/gent-de-muide,"Een voedselteam is een groep van mensen uit een zelfde buurt die rechtstreeks biologische groenten en fruit, hoevezuivel en hoevevlees (al dan niet bio), brood en bloem ... streek- en seizoensproducten aankopen bij producenten uit de streek.",32.jpg,"Patrijsstraat, 9000 Gent",51.0742647,3.7324609
Voedselteam Ekkergem,voeding,Koop voeding,http://www.voedselteams.be/voedselteam/ekkergem-gent,"Een voedselteam is een groep van mensen uit een zelfde buurt die rechtstreeks biologische groenten en fruit, hoevezuivel en hoevevlees (al dan niet bio), brood en bloem ... streek- en seizoensproducten aankopen bij producenten uit de streek.",32.jpg,"Nieuwe Wandeling, 9000 Gent",51.0543709,3.7039928
Voedselteam Gent-Sint-Pieters,voeding,Koop voeding,http://www.voedselteams.be/voedselteam/gent-sint-pieters,"Een voedselteam is een groep van mensen uit een zelfde buurt die rechtstreeks biologische groenten en fruit, hoevezuivel en hoevevlees (al dan niet bio), brood en bloem ... streek- en seizoensproducten aankopen bij producenten uit de streek.",32.jpg,"Distelstraat, 9000 Gent",51.0389551,3.7060083
Voedselteam Gent Heirnis Macharius,voeding,Koop voeding,http://www.voedselteams.be/voedselteam/gent-heirnis-macharius,"Een voedselteam is een groep van mensen uit een zelfde buurt die rechtstreeks biologische groenten en fruit, hoevezuivel en hoevevlees (al dan niet bio), brood en bloem ... streek- en seizoensproducten aankopen bij producenten uit de streek.",32.jpg,"Tarbotstraat, 9000 Gent",51.0454514,3.7414787
Voedselteam Jan van Gent,voeding,Koop voeding,http://www.voedselteams.be/voedselteam/jan-van-gent,"Een voedselteam is een groep van mensen uit een zelfde buurt die rechtstreeks biologische groenten en fruit, hoevezuivel en hoevevlees (al dan niet bio), brood en bloem ... streek- en seizoensproducten aankopen bij producenten uit de streek.",32.jpg,"Annociadenstraat, 9000 Gent",51.0501435,3.7164373
Voedselteam Gent Sint-Amandsberg,voeding,Koop voeding,http://www.voedselteams.be/voedselteam/gent-sint-amandsberg,"Een voedselteam is een groep van mensen uit een zelfde buurt die rechtstreeks biologische groenten en fruit, hoevezuivel en hoevevlees (al dan niet bio), brood en bloem ... streek- en seizoensproducten aankopen bij producenten uit de streek.",32.jpg,"Frans uyttenhovestraat, 9000 Gent",51.07148,3.76111
Voedselteam Gent Rabot,voeding,Koop voeding,http://www.voedselteams.be/voedselteam/gent-rabot,"Een voedselteam is een groep van mensen uit een zelfde buurt die rechtstreeks biologische groenten en fruit, hoevezuivel en hoevevlees (al dan niet bio), brood en bloem ... streek- en seizoensproducten aankopen bij producenten uit de streek.",32.jpg,"Sint-Jozef, 9000 Gent",51.0835547,3.7659228
Voedselteam Tolhuis Gent,voeding,Koop voeding,http://www.voedselteams.be/voedselteam/tolhuis-gent,"Een voedselteam is een groep van mensen uit een zelfde buurt die rechtstreeks biologische groenten en fruit, hoevezuivel en hoevevlees (al dan niet bio), brood en bloem ... streek- en seizoensproducten aankopen bij producenten uit de streek.",32.jpg,"Jacob van Maerlantstraat, 9000 Gent",51.0651447,3.7285011
,,,,,,,,
